,ID,Species,Owner,Country.of.Origin,Farm.Name,Company,Region,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Total.Cup.Points,Moisture,Color,Certification.Body,altitude_mean_meters
0,1,Arabica,metad plc,Ethiopia,metad plc,metad agricultural developmet plc,guji-hambela,METAD Agricultural Development plc,2014,"April 4th, 2015",metad plc,Other,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,90.58,0.12,Green,METAD Agricultural Development plc,2075.0
1,2,Arabica,metad plc,Ethiopia,metad plc,metad agricultural developmet plc,guji-hambela,METAD Agricultural Development plc,2014,"April 4th, 2015",metad plc,Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,89.92,0.12,Green,METAD Agricultural Development plc,2075.0
2,3,Arabica,grounds for health admin,Guatemala,"san marcos barrancas ""san cristobal cuch",,,Specialty Coffee Association,,"May 31st, 2010",Grounds for Health Admin,Bourbon,,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,89.75,0.0,,Specialty Coffee Association,1700.0
3,4,Arabica,yidnekachew dabessa,Ethiopia,yidnekachew dabessa coffee plantation,yidnekachew debessa coffee plantation,oromia,METAD Agricultural Development plc,2014,"March 26th, 2015",Yidnekachew Dabessa,Other,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,89.0,0.11,Green,METAD Agricultural Development plc,2000.0
4,5,Arabica,metad plc,Ethiopia,metad plc,metad agricultural developmet plc,guji-hambela,METAD Agricultural Development plc,2014,"April 4th, 2015",metad plc,Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,88.83,0.12,Green,METAD Agricultural Development plc,2075.0
5,6,Arabica,ji-ae ahn,Brazil,,,,Specialty Coffee Institute of Asia,2013,"September 3rd, 2013",Ji-Ae Ahn,Other,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,88.83,0.11,Bluish-Green,Specialty Coffee Institute of Asia,
6,7,Arabica,hugo valdivia,Peru,,richmond investment-coffee department,,Specialty Coffee Institute of Asia,2012,"September 17th, 2012",Hugo Valdivia,Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,88.75,0.11,Bluish-Green,Specialty Coffee Institute of Asia,
7,8,Arabica,ethiopia commodity exchange,Ethiopia,aolme,,oromia,Ethiopia Commodity Exchange,10-Mar,"September 2nd, 2010",Ethiopia Commodity Exchange,Other,,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,88.67,0.03,,Ethiopia Commodity Exchange,1635.0
8,9,Arabica,ethiopia commodity exchange,Ethiopia,aolme,,oromiya,Ethiopia Commodity Exchange,10-Mar,"September 2nd, 2010",Ethiopia Commodity Exchange,Other,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,88.42,0.03,,Ethiopia Commodity Exchange,1635.0
9,10,Arabica,diamond enterprise plc,Ethiopia,tulla coffee farm,diamond enterprise plc,"snnp/kaffa zone,gimbowereda",METAD Agricultural Development plc,2014,"March 30th, 2015",Diamond Enterprise Plc,Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,88.25,0.1,Green,METAD Agricultural Development plc,1822.5
